Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,cluster
Michael Jackson: The Experience,Wii,2010.0,Misc,4.36,56.0,8.3,E10+,1
Resistance: Fall of Man,PS3,2006.0,Shooter,4.34,86.0,8.1,M,0
Kingdom Hearts II,PS2,2005.0,Role-Playing,4.33,87.0,9.0,E10+,0
Super Mario 3D World,WiiU,2013.0,Platform,4.32,93.0,9.0,E,1
Fable II,X360,2008.0,Role-Playing,4.27,89.0,6.5,M,1
Namco Museum,GBA,2001.0,Misc,4.24,79.0,7.3,E,0
Batman: Arkham Asylum,PS3,2009.0,Action,4.23,91.0,8.9,T,3
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,4.23,91.0,9.3,M,3
Assassin's Creed: Revelations,PS3,2011.0,Action,4.22,80.0,7.5,M,3
Fallout 4,XOne,2015.0,Role-Playing,4.22,88.0,6.2,M,1
FIFA 14,X360,2013.0,Sports,4.22,84.0,4.2,E,1
Daxter,PSP,2006.0,Platform,4.21,85.0,8.7,E10+,1
FIFA Soccer 06,PS2,2005.0,Sports,4.21,80.0,7.8,E,0
EyeToy Play,PS2,2003.0,Misc,4.2,80.0,7.5,E,0
Gran Turismo 5 Prologue,PS3,2007.0,Racing,4.19,80.0,7.1,E,1
Assassin's Creed: Revelations,X360,2011.0,Action,4.19,80.0,7.2,M,3
Street Fighter IV,PS3,2009.0,Fighting,4.16,94.0,7.3,T,3
Madden NFL 2003,PS2,2002.0,Sports,4.14,95.0,7.7,E,0
Half-Life,PC,1997.0,Shooter,4.12,96.0,9.1,M,0
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,4.09,91.0,7.9,T,0
Battlefield 1,PS4,2016.0,Shooter,4.08,88.0,8.4,M,1
God of War II,PS2,2007.0,Action,4.07,93.0,8.9,M,3
Fallout: New Vegas,X360,2010.0,Role-Playing,4.05,84.0,8.1,M,1
Forza Motorsport 2,X360,2007.0,Racing,4.05,90.0,8.3,E,1
Carnival Games,Wii,2007.0,Misc,4.05,56.0,6.0,E,2
Watch Dogs,PS4,2014.0,Action,4.05,80.0,6.3,M,3
Tekken Tag Tournament,PS2,2000.0,Fighting,4.05,85.0,8.5,T,0
